Campaign,Ad Group,Keyword,Match Type,Final URL
STC – High-Intent Local,Home Care – Exact,[home care west palm beach],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Home Care – Exact,[home care boca raton],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Home Care – Exact,[home care delray beach],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Home Care – Exact,[home care boynton beach],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Home Care – Exact,[home care jupiter fl],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Home Care – Exact,[home care coral springs],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Home Care – Exact,[home care parkland fl],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Home Care – Exact,[home care pompano beach],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Home Care – Exact,[home care fort lauderdale],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Home Care – Exact,[in home care near me],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Home Care – Exact,[home health aide near me],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Home Care – Exact,[senior care near me],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Home Care – Exact,[elderly care near me],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Home Care – Exact,[home care agency near me],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Home Care – Phrase,"home care south florida",Phrase,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Home Care – Phrase,"home care palm beach county",Phrase,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Home Care – Phrase,"home care broward county",Phrase,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Home Care – Phrase,"in home caregiver",Phrase,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Home Care – Phrase,"private home care",Phrase,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Home Care – Phrase,"non medical home care",Phrase,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Memory & Specialized,[memory care at home],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Memory & Specialized,[alzheimers care at home],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Memory & Specialized,[dementia care at home],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Memory & Specialized,[respite care near me],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Memory & Specialized,[post surgery home care],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Memory & Specialized,"companion care for elderly",Phrase,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Memory & Specialized,"24 hour home care",Phrase,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Memory & Specialized,"live in caregiver",Phrase,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Urgent / Need Now,[need home care now],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Urgent / Need Now,[home care after hospital],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Urgent / Need Now,[emergency home care],Exact,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Urgent / Need Now,"home care for my mom",Phrase,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Urgent / Need Now,"home care for my dad",Phrase,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Urgent / Need Now,"home care for elderly parent",Phrase,https://zbracko.github.io/click2-homehealth
STC – High-Intent Local,Urgent / Need Now,"help caring for aging parent",Phrase,https://zbracko.github.io/click2-homehealth
